contributor,indexid,filename,identifier,title,creator,date,description,subject,place,latitude,longitude,source,type,format,language,rights,rightsstatement,githubusername
Rory Butcher,mg367-1575-014,mg367-1575-014.pdf,mg367-1575-014,"Idaho's First Martyr, The Idaho Magazine",F.W. Ellis,1906-02,An editorial on former Idaho Govenor Steunenberg and his assassination,assassinations; governors; mining,"Boise, Idaho",43.834706,-116.189997,"MG 367, Bunker Hill Mining Company Records, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rorybutcher72
Rory Butcher,mg367-1578086,mg367-1578086.pdf,mg367-1578086,Pinkerton Detective Agency No. 5 Reports,Pinkerton Detective Agency,1906-06-21,Operative report from No. 4 explaining the warning a union miner gave him to keep quiet,operative; miners; unions,"Wardner, Idaho",47.531592,-116.133783,"MG 367, Bunker Hill Mining Company Records, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rorybutcher72
Rory Butcher,mg367-1576021,mg367-1576021.pdf,mg367-1576021,"Captain W. S. Swain, The Idaho Magazine",W. M. Simpson,,An article about Captain Swain and his leadership of the Thiel Detective Service Company,detectives; operative; assassinations,"Boise, Idaho",43.834706,-116.189997,"MG 367, Bunker Hill Mining Company Records, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rorybutcher72
Rory Butcher,pg8-a118001,pg8-a118001.jpg,pg8-a118001,Hector Mine,T.N. Barnard,1912-02-28,Showing four men and ore car at entrance of tunnel,mine; miners; ore,"Burke, Idaho",47.31779,-115.49779,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rorybutcher72
Rory Butcher,pg8-x-548a,pg8-x-548.jpg,pg8-x-548,"Kellogg, Jack","Barnard Studio (Wallace, Idaho)",1886,Early day street scene in Wardner,burro; mining towns,"Wardner, Idaho",47.531592,-116.133783,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rorybutcher72
Karl Rehrmann,mg5-001-033b,mg5-001-033.pdf,mg5-001-033,Union Investigator Code Letter,Wilson S. Swain (W.S.S.),1900-11-10,"A letter sent to an operative informing him of a code to be used when discussing union members. It gives letter codes for different unions, as well as personal disposition and employment status of the member.",Union; Labor; Mining; Workers; Investigation; Code,"Spokane, Washington",47.65659,-117.41996,Stanley Easton collection,text,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rehr2150
Karl Rehrmann,mg5-001-035,mg5-001-035.pdf,mg5-001-035,Union Member Statuses,,1900-11-15,"Document listing thirty-four known Members of the Wardner union, including their disposition and employment status using a specific code used by the investigators. The document also mentions that three new members were initiated, and five more signified they wish to join.",Union; Labor; Investigaton; Code; Members; ,"Wardner, Idaho",47.52141,-116.13692,Stanley Easton collection,text,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rehr2150
Karl Rehrmann,mg5-024-002,mg5-024-002.pdf,mg5-024-002,Sunshine Mine Strike - 2,Rinker Studio,1937-08-08,"Photo of a group of miners outside the Sunshine Mine who are on strike. It is a large gathering of a few hundred men, who all appear to be facing the same direction.",Sunshine; Mine; Mining; Miners; Strike; Silver; Valley,"Kellogg, Idaho",47.50267,-116.07143,Stanley Easton collection,image,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rehr2150
Karl Rehrmann,mg5-024-001,mg5-024-001.pdf,mg5-024-001,Sunshine Mine Strike - 1,Rinker Studio,1937-08-08,"Photo from the Sunshine SIlver Mine showing two signs hanging between two buildings, as well as a fake body hanging from a rope. The signs say ""McGuire's last stand O.I.C"" and ""Waiting for Scott Erwin"".",Sunshine; Mine; Mining; Miners; Strike; Silver; Valley,"Kellogg, Idaho",47.50267,-116.07143,Stanley Easton collection,image,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rehr2150
Karl Rehrmann,mg5-001-008,mg5-001-008.pdf,mg5-001-008,Bill from Investigator to Bunker Hill Mine,Thiel Detective Service,1900-09-01,Written bill to the Bunker Hill and Sullivan Mining Co. from the Thiel Detective Service for fees and items for the agent investigation Unions for them. Total amount of $416.05.,Investigation; Bill; Unions; Mining; Detective,"Wardner, Idaho",47.52141,-116.13692,,text,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,rehr2150
Jacob Rudd,pg8-x-536,pg8-x-536.jpg,pg8-x-536,"Bull Pen, Kellog","Barnard Studio (Wallace, Idaho)",1899,Interior showing bunks and group of men,Miners; concentration camp; mining towns;,"Kellog, Idaho",47.546754,-116.144754,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,jacobrudd
Jacob Rudd,pg8-x-547,pg8-x-547.jpg,pg8-x-547,"Hercules Cabin, Burke","Barnard Studio (Wallace, Idaho)",1901,"Group examining ore samples, strike made July 2, 1901",Miners; ore; cabin,"Burke, Idaho",47.31779,-115.49779,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,jacobrudd
Jacob Rudd,mg5-001-085,mg5-001-085.pdf,mg5-001-085,Operative Report on Coeur d'Alene,Thiel Detective Service,1901-04-20,Operative report on the current condition of Coeur d'Alene,Crime; Union; Detectives,"Coeur d'Alene, Idaho",47.674299,-116.781153,"MG 5, Stanly Easton Papers, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,jacobrudd
Jacob Rudd,mg5-001-083b,mg-001-083.pdf,mg-001-083,Operative Report on the murder of Fisher,Thiel Detective Service,1901-04-16,Operative Report detailing the evens surrounding the muder of a Union miner named Martin Fisher,operative; miner; union; crime; murder,"Burke, Idaho",47.31779,-115.49779,"MG 5, Stanly Easton Papers, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,jacobrudd
Jacob Rudd,mg5-002-002,mg5-002-002.pdf,mg5-002-002,Operative Report July 3rd 1901,Thiel Detective Service,1901-05-03,Operative Report disscussing uniion members and their experiance in the Bull Pen,operative; union; Bull Pen; miners,"Burke, Idaho",47.31779,-115.49779,"MG 5, Stanly Easton Papers, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,jacobrudd
Tristin,mg5-001-033a,mg5-001-033.pdf,mg5-001-033,Instructions for status for Union Workers,"Swain, Wilson S",1900-11-10,Instructions for operator reports to label Union Workers and their current status,"codes (general, symbols); instructions (document genre)","Spokane, Washington",47.660011,-117.421973,"MG 5, Stanly Easton Papers, University of Idaho Libeary Special Collections and Achives",Text,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,TristinHistory
Tristin,mg5-001-036,mg5-001-036.pdf,mg5-001-036,Bunker Hill & Sullivan Opertive Report,Thiel Detective Service Co.,1900-11-15,Operator reporting on what local Union Workers are doing aswell as a list of Union Workers the operator was able to uncover,"codes (general, symbols); politics; unions","Seattle, Washington",47.711717,-122.343469,"MG 5, Stanly Easton Papers, University of Idaho Libeary Special Collections and Achives",Text,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,TristinHistory
Tristin,mg5-001-056,mg5-001-056.pdf,mg5-001-056,Frisco Cons'D. Mining Co.,Thiel Detective Service Co.,1900-12-01,Operator reporting on the change of management in F. & E. mine also noting the number of idle men at saloons.,"codes (general, symbols); unions;","Seattle, Washington",47.711717,-122.343469,"MG 5, Stanly Easton Papers, University of Idaho Libeary Special Collections and Achives",Test,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,TristinHistory
Tristin,pg8-x-535a,pg8-x-535.jpg,pg8-x-535,Bunker Hill Mine,Barnard-Stockbrdge Collestion,,"First workings of Bunker hill, showing original outcrop and tramway.",mines; miners; unions; mining town,"Wardner, Idaho",47.531592,-116.133783,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,TristinHistory
Tristin,pg8-x-539,pg8-x-539.jpg,pg8-x-539,Bunker Hill and Sullivan Ore Bins,Barnard-Stockbrdge Collestion,,Inner workings of the mine in Bunker Hill,mines; miners; unions; mining town; ore,"Wardner, Idaho",47.531592,-116.133783,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,TristinHistory
Megan Murray,pg8-a-132,pg8-a-132.jpg,pg8-a-132,Snowstorm Boarding House,"Barnard Studio (Wallace, Idaho)",1910,"A modern steam-heated boarding houde with individual rooms, built for miners.",boardeinghouses; mining towns;,"Mullan, Idaho",47.28599,-115.473179,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,murr0801
Megan Murray,mg367-1578-002158,mg367-1578-002158.pdf,mg367-1578-002158,Pinkerton Detective Agency Correspondence ,R. ,1905-11-06,Letters from the detective agency discussing the spies being sent to the mines,,"Spokane, Washington ",47.660011,-117.4058,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,murr0801
Megan Murray,mg367-1578-066,mg367-1578-066.pdf,mg367-1578-066,Pinkerton Detective Agency Correspondence ,S.,1906-03-10,Letter from a spy/detective reporting to the agency about unrest in the mines/joing union,,"Kellogg, Idaho",47.538235,-116.118888,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,murr0801
Megan Murray,pg8-x-539b,pg8-x-539.jpg,pg8-x-539,Bunker Hill and Sullivan Ore Bins,"Barnard Studio (Wallace, Idaho)",,Interior of mine where the ore bins are emptied,,"Kellogg, Idaho",47.538235,-116.118888,"PG 8, Barnard-Stockbridge COllection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,murr0801
Megan Murray,mg5-010-005,mg5-010-005.pdf,mg5-010-005,Nothern Idaho Union Activities,A. S. Irwin,1914,Article on the different workers unions in Northern Idaho,,"Kellogg, Idaho",47.538235,-116.118888,"MG 5, Stanly Easton Papers, University of Idaho Libeary Special Collections and Achives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,murr0801
Jacob Sullivan,pg8-x-545d,pg8-x-545d.jpg,pg8-x-545d,"Wallace, Idaho-Forest Fire 1910",,1910,Some damage of East Wallace concerning the Fire of 1910. Multiple ruins of buildings are present.,Fire; Ruins; Damage,"Wallace, Idaho",47.47312,-115.930236,Barnard-Stockbridge Collection,Image,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Sullyvanman05
Jacob Sullivan,pg8-x-533a,pg8-x-533a.jpg,pg8-x-533a,"Burke, Idaho-Snow Slide",,1910-02-28,Men are digging out the town of Burke after a large snow slide. The men are seen using shovels to accomplish this task.,Snow; Snow Slide; Digging,"Burke, Idaho",47.520386,-115.819427,Barnard-Stockbridge Collection,Image,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Sullyvanman05
Jacob Sullivan,mg5-037-001534,mg5-037-001534.pdf,mg5-037-001534,First Aid Contest Flyer,,1918-04-22,This flyer is advertising a first aid comptetion and the prizes for the winners of said contest are listed. This contest took place during World War I and this can be seen in the advertising.,Contest; Flyer; First Aid,"Wallace, Idaho",47.47141,-115.924357,Stanley Easton,Text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Sullyvanman05
Jacob Sullivan,mg5-011-022546,mg5-011-022546.pdf,mg5-011-022546,Kellogg Daily Reminder,Eaton's Letter Shop,1931-02-19,"This is a newspaper that was distributed in the town of Kellogg in the early 20th century. This paper is from 1908, and covers several important events that were happening in Kellogg during this time. Also, the paper shows several advertisements from products that were available during this era.",Newspaper; Advertisements; News,"Kellogg, Idaho",47.540059,-116.12145,Stanley Easton,Text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Sullyvanman05
Jacob Sullivan,mg5-006045,mg5-006045.pdf,mg5-006045,"Correspondance from M, Aprill 27th, 1908",M,1908-04-27,"This letter is from an undercover agent that goes by the name of M. This agent is sending a report regarding the spying that he has conducted on the union miners of the area. This letter discusses a man named shepherd, and how he seems to be promoting socialist ideas. The agent does not appear to reccommend any action, and is simply reporting what he has seen. ",Correspondence; Miners; Union Men; ,"Kellogg, Idaho",47.540059,-116.12145,Stanley Easton,Text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,Sullyvanman05
Bridget Watters,mg367-1579-011,mg367-1579-011.pdf,mg367-1579-011,Thiel Detective Service Letter ,"W. S. Swain, Manager",1906-06-18,Confirmation that Thiel Service attended the W.F. of M. annual meeting undercover.,Correspondence; agitators; annual union meeting,"Spokane, WA",47.928242,-118.042168,Bunker Hill Mining Company Collection,text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,bbwatters
Bridget Watters,mg367-1579-012p001,mg367-1579-012.pdf,mg367-1579-012,"Correspondence from ""6"" October 24, 1905",No. 6,1905-10-24,"Correspondence between ""6"" and Bunker -Sullivan Mine Operation re. union men being fearful",Correspondence;fear; union men;management,"Wardner, Idaho",47.522928,-116.134061,Bunker Hill Mining Company Collection,text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,bbwatters
Bridget Watters,mg367-1579-013p001,mg367-1579-013.pdf,mg367-1579-013,Correspondence from Federal Mining and Smelting,MCB,1905-11-06,Correspondence between MCB and SA Easton; rebuttal of complaint of harrassment,Correspondence; rebuttal; denial of abuse; Management,"Coeur D'Alene, Idaho",47.674299,-116.781153,Bunker Hill Mining Company Collection,text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,bbwatters
Bridget Watters,pg8-x-537b,pg8-x-537.jpg,pg8-x-537,"Bull Pen, Kellogg",Barnard-Stockbridge ,1899,Men sitting on beds in bull pen,lodging; miners; morning;bunks,"Kellogg, Idaho",47.538235,-116.118888,Barnard Stockbridge Collection,image,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,bbwatters
Bridget Watters,pg8-x-545a,pg8-x-545a.jpg,pg8-x-545a,Big Burn Fire Fighter,Barnard-Stockbridge ,1910-08-20,"Man with cane.Note pon back reads ""Forest fire August 20, 1910, Wallace, Idaho""",Burn Victim;cane,"Wallace, Idaho",47.473785,-115.929094,Barnard Stockbridge Collection,image,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,bbwatters
Julie Tiger,pg8-x-548c,pg8-x-548.jpg,pg8-x-548,Early-Day Street Scene in Wardner,"Kellogg, Jack",1886,"Noah Kellogg's burro that discovered the Bunker Hill and Sullivan Mine. Boys riding are Jerome Day, Sam and Frank Poteet. Wardner, Idaho (source: description inscribed on original document).",street scene; donkeys; mercantile buildings; frontier settlements,"Wardner, Idaho",47.523272,-116.136579,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",image;stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,JKTiger
Julie Tiger,mg5-001-001a,mg5-001-001.pdf,mg5-001-001,Private Investigator/Operator Report (Opr.A-59),Opr. A-59,1902-10-01,"2-page typed daily report from a private detective hired by mine owners to observe miners at several locations in the Silver Valley of Idaho. Consists of a description of a conversation that ""Operator A-59"" had with John Kelley (an Executive Board member of the W.F.M.) on January 10, 1902. The conversation concerns an upcoming election, and indicates the interest many mineworkers had in Socialism at the time.",business letters; corporation records; corporate collections; socialism; trade unions; elections,"Wardner, Idaho",47.52141,-116.13692,"MG 5, Stanly Easton Papers, University of Idaho Library Special Collections and Archives",text,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,JKTiger
Julie Tiger,pg8-x-545ib,pg8-x-545i.jpg,pg8-x-545i,"Portrait of Two Men Burned in the Forest Fire (l-r: Mr. Zeller, Anton Canjar)","Barnard Studio (Wallace, Idaho)",1910-01-10,"Posed studio portrait of two men. Both are wrapped in bandages. The man on the left has a large bandage on his head under his hat, and his face exhibits peeling. The man on the right has a similar injury, and also has both of his hands wrapped in gauze. 5 x 7 black and white glass negative.",group portraits; commercial portraiture; fire (physical concept); fire damage; fires (events),"Wallace, Idaho",47.48089,-115.928038,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",image;stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,JKTiger
Julie Tiger,mg367-1586-map,mg367-1586-map.jpg,mg367-1586-map,Topographical Map of the Coeur d'Alenes Showing Road to Thompson Falls,Sibley & Bonner Engineers,,"This is a topographical map of the Silver Valley in North Idaho, location of the Coeur d'Alene Mines. Rectangular in shape, folio-sized. It appears to be hand-drawn on blue carbon paper. Major topographical features are noted, as well as the locations of railroad tracks and towns. The locations of the Bunker Hill Mine, Sullivan Mine, Morning Mine, and Hercules Mine are marked. ",topographical maps; topographical surveys; mining engineers; mining towns; mining centers (inhabited places);,"Missoula, MT; Silver Valley in Idaho",46.8721,-113.994,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",image;stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,JKTiger
Julie Tiger,mg367-75-1630-001,mg367-75-1630.pdf,mg367-75-1630,Opinion and Ruling of Board of Arbitration Case No. 12,Regional Labor Board,1934-04-03,"Three selected pages of a report from the Regional Labor Board concerning a dispute between owners of the Burke, Hecla and Bunker Hill Mines, and workers from the Burke and Kellogg Miners Unions. Subject of the dispute was article 7a of the National Industrial Recovery Act of 1933, which forbade business owners from interfering with the formation of unions. ",arbitration; trade unions; New Deal; collective labor agreements; industrial relations; mining,"Seattle, WA",47.608013,-122.335167,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",text,image/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,JKTiger
